temperature,experiment_folder,timestep,homophilic_interaction,polarization
Temperature=1.0,Abortion_original,37,0.8753180661577609,1.85
Temperature=1.0,Abortion_original,38,0.8829516539440203,1.86
Temperature=1.0,Abortion_original,39,0.8829516539440203,1.86
Temperature=1.0,Abortion_original,40,0.8880407124681934,1.87
Temperature=1.5,Exp1_temp1.5,0,0.19,0.82
Temperature=1.5,Exp1_temp1.5,1,0.21,0.91
Temperature=1.5,Exp1_temp1.5,2,0.235,0.93
Temperature=1.5,Exp1_temp1.5,3,0.28,1.06
Temperature=1.5,Exp1_temp1.5,4,0.3233082706766917,1.24
Temperature=1.5,Exp1_temp1.5,5,0.3793969849246231,1.27
Temperature=1.5,Exp1_temp1.5,6,0.3793969849246231,1.3
Temperature=1.5,Exp1_temp1.5,7,0.4120603015075377,1.31
Temperature=1.5,Exp1_temp1.5,8,0.4393939393939394,1.42
Temperature=1.5,Exp1_temp1.5,9,0.4481012658227848,1.39
Temperature=1.5,Exp1_temp1.5,10,0.5176767676767676,1.51
Temperature=1.5,Exp1_temp1.5,11,0.5468354430379747,1.57
Temperature=1.5,Exp1_temp1.5,12,0.5544303797468354,1.56
Temperature=1.5,Exp1_temp1.5,13,0.5645569620253165,1.62
Temperature=1.5,Exp1_temp1.5,14,0.5924050632911393,1.62
Temperature=1.5,Exp1_temp1.5,15,0.6075949367088608,1.65
Temperature=1.5,Exp1_temp1.5,16,0.6106870229007634,1.64
Temperature=1.5,Exp1_temp1.5,17,0.6463104325699746,1.66
Temperature=1.5,Exp1_temp1.5,18,0.7081218274111675,1.73
Temperature=1.5,Exp1_temp1.5,19,0.7157360406091371,1.73
Temperature=1.5,Exp1_temp1.5,20,0.7461928934010152,1.76
Temperature=1.5,Exp1_temp1.5,21,0.7588832487309645,1.78
Temperature=1.5,Exp1_temp1.5,22,0.7817258883248731,1.77
Temperature=1.5,Exp1_temp1.5,23,0.7918781725888325,1.8
Temperature=1.5,Exp1_temp1.5,24,0.806615776081425,1.83
Temperature=1.5,Exp1_temp1.5,25,0.8193384223918575,1.8
Temperature=1.5,Exp1_temp1.5,26,0.8269720101781171,1.8
Temperature=1.5,Exp1_temp1.5,27,0.8346055979643766,1.83
Temperature=1.5,Exp1_temp1.5,28,0.8443877551020408,1.83
Temperature=1.5,Exp1_temp1.5,29,0.8494897959183674,1.84
Temperature=1.5,Exp1_temp1.5,30,0.8524173027989822,1.84
Temperature=1.5,Exp1_temp1.5,31,0.8778625954198473,1.85
Temperature=1.5,Exp1_temp1.5,32,0.8871794871794871,1.86
Temperature=1.5,Exp1_temp1.5,33,0.8871794871794871,1.86
Temperature=1.5,Exp1_temp1.5,34,0.8974358974358975,1.85
Temperature=1.5,Exp1_temp1.5,35,0.9023136246786633,1.85
Temperature=1.5,Exp1_temp1.5,36,0.910025706940874,1.88
Temperature=1.5,Exp1_temp1.5,37,0.8997429305912596,1.85
Temperature=1.5,Exp1_temp1.5,38,0.8997429305912596,1.84
Temperature=1.5,Exp1_temp1.5,39,0.9048843187660668,1.85
Temperature=1.5,Exp1_temp1.5,40,0.9048843187660668,1.86
