time,bias,condition,topic,bias_diff
1,0.857,Original,Partisan Alignment,
2,0.934,Original,Partisan Alignment,
3,1.045,Original,Partisan Alignment,
4,1.129,Original,Partisan Alignment,
5,1.201,Original,Partisan Alignment,
6,1.268,Original,Partisan Alignment,0.08220000000000001
7,1.305,Original,Partisan Alignment,0.07419999999999997
8,1.315,Original,Partisan Alignment,0.054000000000000006
9,1.317,Original,Partisan Alignment,0.03759999999999999
10,1.349,Original,Partisan Alignment,0.02959999999999998
11,1.34,Original,Partisan Alignment,0.014400000000000013
12,1.341,Original,Partisan Alignment,0.007200000000000007
13,1.343,Original,Partisan Alignment,0.005600000000000005
14,1.343,Original,Partisan Alignment,0.005200000000000005
15,1.376,Original,Partisan Alignment,0.005399999999999983
16,1.36,Original,Partisan Alignment,0.0040000000000000036
17,1.373,Original,Partisan Alignment,0.0064000000000000055
18,1.375,Original,Partisan Alignment,0.0064000000000000055
19,1.385,Original,Partisan Alignment,0.008400000000000008
20,1.395,Original,Partisan Alignment,0.0038000000000000256
21,1.403,Original,Partisan Alignment,0.008599999999999986
22,1.421,Original,Partisan Alignment,0.009600000000000008
23,1.438,Original,Partisan Alignment,0.01259999999999999
24,1.443,Original,Partisan Alignment,0.01160000000000001
25,1.445,Original,Partisan Alignment,0.010000000000000009
26,1.437,Original,Partisan Alignment,0.006800000000000006
27,1.445,Original,Partisan Alignment,0.004800000000000004
28,1.438,Original,Partisan Alignment,0.0
29,1.457,Original,Partisan Alignment,0.0028000000000000026
30,1.449,Original,Partisan Alignment,0.0008000000000000007
31,1.456,Original,Partisan Alignment,0.0037999999999999813
32,1.461,Original,Partisan Alignment,0.0032000000000000028
33,1.469,Original,Partisan Alignment,0.0062000000000000275
34,1.464,Original,Partisan Alignment,0.001399999999999979
35,1.472,Original,Partisan Alignment,0.004599999999999982
36,1.477,Original,Partisan Alignment,0.004200000000000026
37,1.466,Original,Partisan Alignment,0.0009999999999999788
38,1.474,Original,Partisan Alignment,0.0009999999999999788
39,1.476,Original,Partisan Alignment,0.002400000000000002
40,1.463,Original,Partisan Alignment,-0.0017999999999999794
41,1.476,Original,Partisan Alignment,-0.00020000000000002237
1,0.824,Debiased,Partisan Alignment,
2,0.863,Debiased,Partisan Alignment,
3,0.922,Debiased,Partisan Alignment,
4,1.005,Debiased,Partisan Alignment,
5,1.087,Debiased,Partisan Alignment,
6,1.115,Debiased,Partisan Alignment,0.05820000000000001
7,1.16,Debiased,Partisan Alignment,0.05939999999999999
8,1.19,Debiased,Partisan Alignment,0.05359999999999998
9,1.218,Debiased,Partisan Alignment,0.04260000000000001
10,1.196,Debiased,Partisan Alignment,0.021799999999999996
11,1.205,Debiased,Partisan Alignment,0.018000000000000016
12,1.224,Debiased,Partisan Alignment,0.012800000000000011
13,1.234,Debiased,Partisan Alignment,0.008800000000000007
14,1.221,Debiased,Partisan Alignment,0.0006000000000000227
15,1.213,Debiased,Partisan Alignment,0.0034000000000000254
16,1.228,Debiased,Partisan Alignment,0.004599999999999982
17,1.231,Debiased,Partisan Alignment,0.0014000000000000234
18,1.246,Debiased,Partisan Alignment,0.002400000000000002
19,1.238,Debiased,Partisan Alignment,0.0033999999999999807
20,1.233,Debiased,Partisan Alignment,0.0040000000000000036
