temperature,experiment_folder,timestep,Edge_change,Node_change
Temperature=0.5,Exp1,1,0.0,6.0
Temperature=0.5,Exp1,2,2.5,5.0
Temperature=0.5,Exp1,3,3.25,8.0
Temperature=0.5,Exp1,4,2.0,10.0
Temperature=0.5,Exp1,5,2.75,9.0
Temperature=0.5,Exp1,6,3.25,8.0
Temperature=0.5,Exp1,7,2.625,4.0
Temperature=0.5,Exp1,8,2.2556390977443606,9.0
Temperature=0.5,Exp1,9,2.1303258145363406,7.000000000000001
Temperature=0.5,Exp1,10,2.25,7.000000000000001
Temperature=0.5,Exp1,11,1.25,4.0
Temperature=0.5,Exp1,12,1.7500000000000002,4.0
Temperature=0.5,Exp1,13,1.25,5.0
Temperature=0.5,Exp1,14,2.5,2.0
Temperature=0.5,Exp1,15,2.375,6.0
Temperature=0.5,Exp1,16,2.0050125313283207,4.0
Temperature=0.5,Exp1,17,1.2531328320802004,1.0
Temperature=0.5,Exp1,18,1.2531328320802004,4.0
Temperature=0.5,Exp1,19,1.2531328320802004,5.0
Temperature=0.5,Exp1,20,0.5012531328320802,4.0
Temperature=0.5,Exp1,21,1.5037593984962405,1.0
Temperature=0.5,Exp1,22,1.5113350125944585,1.0
Temperature=0.5,Exp1,23,1.63727959697733,3.0
Temperature=0.5,Exp1,24,0.7575757575757576,3.0
Temperature=0.5,Exp1,25,1.1363636363636365,4.0
Temperature=0.5,Exp1,26,1.5189873417721518,4.0
Temperature=0.5,Exp1,27,1.2658227848101267,4.0
Temperature=0.5,Exp1,28,1.0126582278481013,3.0
Temperature=0.5,Exp1,29,0.5063291139240507,3.0
Temperature=0.5,Exp1,30,0.5063291139240507,2.0
Temperature=0.5,Exp1,31,0.37974683544303794,2.0
Temperature=0.5,Exp1,32,0.0,2.0
Temperature=0.5,Exp1,33,1.015228426395939,1.0
Temperature=0.5,Exp1,34,0.5076142131979695,2.0
Temperature=0.5,Exp1,35,0.0,2.0
Temperature=0.5,Exp1,36,0.5076142131979695,1.0
Temperature=0.5,Exp1,37,0.0,2.0
Temperature=0.5,Exp1,38,0.0,3.0
Temperature=0.5,Exp1,39,0.0,1.0
Temperature=0.5,Exp1,40,0.7614213197969544,1.0
Temperature=1.0,Abortion_original,1,0.0,12.0
Temperature=1.0,Abortion_original,2,4.75,14.000000000000002
Temperature=1.0,Abortion_original,3,6.625,17.0
Temperature=1.0,Abortion_original,4,9.649122807017543,10.0
