temperature,experiment_folder,timestep,Edge_change,Node_change
Temperature=1.0,Abortion_original,5,5.375,6.0
Temperature=1.0,Abortion_original,6,4.887218045112782,11.0
Temperature=1.0,Abortion_original,7,5.025125628140704,10.0
Temperature=1.0,Abortion_original,8,4.899497487437186,12.0
Temperature=1.0,Abortion_original,9,6.045340050377834,13.0
Temperature=1.0,Abortion_original,10,6.045340050377834,8.0
Temperature=1.0,Abortion_original,11,6.675062972292191,4.0
Temperature=1.0,Abortion_original,12,7.449494949494949,5.0
Temperature=1.0,Abortion_original,13,4.534005037783375,5.0
Temperature=1.0,Abortion_original,14,3.7783375314861463,8.0
Temperature=1.0,Abortion_original,15,4.785894206549118,9.0
Temperature=1.0,Abortion_original,16,3.27455919395466,2.0
Temperature=1.0,Abortion_original,17,2.0151133501259446,6.0
Temperature=1.0,Abortion_original,18,4.534005037783375,1.0
Temperature=1.0,Abortion_original,19,3.6523929471032743,9.0
Temperature=1.0,Abortion_original,20,3.535353535353535,5.0
Temperature=1.0,Abortion_original,21,3.2828282828282833,7.000000000000001
Temperature=1.0,Abortion_original,22,3.787878787878788,2.0
Temperature=1.0,Abortion_original,23,3.9141414141414144,1.0
Temperature=1.0,Abortion_original,24,2.278481012658228,3.0
Temperature=1.0,Abortion_original,25,2.6582278481012658,2.0
Temperature=1.0,Abortion_original,26,1.7766497461928936,1.0
Temperature=1.0,Abortion_original,27,2.284263959390863,0.0
Temperature=1.0,Abortion_original,28,1.2690355329949239,0.0
Temperature=1.0,Abortion_original,29,1.2690355329949239,2.0
Temperature=1.0,Abortion_original,30,2.284263959390863,2.0
Temperature=1.0,Abortion_original,31,2.030456852791878,2.0
Temperature=1.0,Abortion_original,32,1.7766497461928936,0.0
Temperature=1.0,Abortion_original,33,1.015228426395939,3.0
Temperature=1.0,Abortion_original,34,1.7766497461928936,1.0
Temperature=1.0,Abortion_original,35,1.2690355329949239,3.0
Temperature=1.0,Abortion_original,36,1.2690355329949239,0.0
Temperature=1.0,Abortion_original,37,1.6497461928934012,1.0
Temperature=1.0,Abortion_original,38,3.0534351145038165,1.0
Temperature=1.0,Abortion_original,39,0.7633587786259541,2.0
Temperature=1.0,Abortion_original,40,1.0178117048346056,1.0
Temperature=1.5,Exp1_temp1.5,1,0.0,6.0
Temperature=1.5,Exp1_temp1.5,2,1.25,9.0
Temperature=1.5,Exp1_temp1.5,3,4.5,14.000000000000002
Temperature=1.5,Exp1_temp1.5,4,5.625,18.0
Temperature=1.5,Exp1_temp1.5,5,7.142857142857142,10.0
Temperature=1.5,Exp1_temp1.5,6,7.537688442211055,12.0
Temperature=1.5,Exp1_temp1.5,7,6.281407035175879,8.0
Temperature=1.5,Exp1_temp1.5,8,3.7688442211055273,16.0
Temperature=1.5,Exp1_temp1.5,9,7.449494949494949,5.0
Temperature=1.5,Exp1_temp1.5,10,4.936708860759493,12.0
Temperature=1.5,Exp1_temp1.5,11,3.4090909090909087,7.000000000000001
Temperature=1.5,Exp1_temp1.5,12,4.30379746835443,7.000000000000001
Temperature=1.5,Exp1_temp1.5,13,3.79746835443038,6.0
Temperature=1.5,Exp1_temp1.5,14,4.810126582278481,6.0
Temperature=1.5,Exp1_temp1.5,15,3.2911392405063293,7.000000000000001
Temperature=1.5,Exp1_temp1.5,16,3.0379746835443036,5.0
Temperature=1.5,Exp1_temp1.5,17,3.307888040712468,6.0
Temperature=1.5,Exp1_temp1.5,18,3.689567430025445,8.0
Temperature=1.5,Exp1_temp1.5,19,2.030456852791878,2.0
Temperature=1.5,Exp1_temp1.5,20,3.2994923857868024,5.0
Temperature=1.5,Exp1_temp1.5,21,2.284263959390863,4.0
Temperature=1.5,Exp1_temp1.5,22,4.314720812182741,3.0
Temperature=1.5,Exp1_temp1.5,23,2.7918781725888326,3.0
Temperature=1.5,Exp1_temp1.5,24,3.6802030456852792,3.0
Temperature=1.5,Exp1_temp1.5,25,3.816793893129771,3.0
Temperature=1.5,Exp1_temp1.5,26,1.5267175572519083,4.0
Temperature=1.5,Exp1_temp1.5,27,2.035623409669211,3.0
Temperature=1.5,Exp1_temp1.5,28,1.9083969465648856,2.0
Temperature=1.5,Exp1_temp1.5,29,1.0204081632653061,1.0
Temperature=1.5,Exp1_temp1.5,30,2.6785714285714284,2.0
Temperature=1.5,Exp1_temp1.5,31,0.7633587786259541,1.0
Temperature=1.5,Exp1_temp1.5,32,2.1628498727735366,1.0
Temperature=1.5,Exp1_temp1.5,33,1.0256410256410255,0.0
Temperature=1.5,Exp1_temp1.5,34,1.7948717948717947,1.0
Temperature=1.5,Exp1_temp1.5,35,0.641025641025641,0.0
Temperature=1.5,Exp1_temp1.5,36,1.0282776349614395,2.0
Temperature=1.5,Exp1_temp1.5,37,1.5424164524421593,2.0
Temperature=1.5,Exp1_temp1.5,38,1.2853470437017995,1.0
Temperature=1.5,Exp1_temp1.5,39,1.5424164524421593,3.0
Temperature=1.5,Exp1_temp1.5,40,1.0282776349614395,3.0
