sample_index,topic,agent_id,epoch,toward_pro_previous,toward_pro_current
0,Abortion,446,33,0,0
1,Abortion,104,5,0,0
2,Abortion,377,32,3,3
3,Abortion,235,4,0,0
4,Abortion,242,8,3,3
5,Abortion,857,3,0,2
6,Abortion,970,3,0,2
7,Abortion,992,1,0,0
8,Abortion,670,9,1,0
9,Abortion,326,3,0,5
10,Abortion,671,0,0,3
11,Abortion,909,4,0,0
12,Abortion,405,3,0,0
13,Abortion,546,0,0,3
14,Abortion,392,1,0,0
15,Abortion,673,26,0,0
16,Abortion,770,21,3,3
17,Abortion,812,2,5,2
18,Abortion,104,7,0,0
19,Abortion,161,12,2,2
20,Abortion,660,22,3,2
21,Abortion,866,3,0,0
22,Abortion,971,39,2,3
23,Abortion,403,33,4,4
24,Abortion,177,20,1,0
25,Abortion,667,18,3,4
26,Abortion,171,1,0,0
27,Abortion,813,6,1,2
28,Abortion,81,1,0,0
29,Abortion,293,40,2,2
30,Abortion,800,0,0,0
31,Abortion,915,7,0,0
32,Abortion,20,1,0,0
33,Abortion,444,1,0,0
34,Abortion,875,4,0,3
35,Abortion,575,5,3,3
36,Abortion,496,6,3,4
37,Abortion,596,1,0,2
38,Abortion,182,11,1,0
39,Abortion,354,4,0,2
40,Abortion,648,6,3,2
41,Abortion,456,2,0,2
42,Abortion,885,27,1,0
43,Abortion,889,0,0,4
44,Abortion,891,20,0,0
45,Abortion,153,16,4,3
46,Abortion,160,2,0,2
47,Abortion,415,2,0,4
48,Abortion,770,38,3,3
49,Abortion,680,22,5,4
50,Abortion,12,1,0,0
51,Abortion,114,3,2,2
52,Abortion,849,2,4,1
53,Abortion,279,2,1,0
54,Abortion,615,1,0,4
55,Abortion,834,4,3,3
56,Abortion,892,2,0,4
57,Abortion,547,18,0,0
58,Abortion,61,9,3,6
59,Abortion,212,12,0,0
60,Abortion,225,2,3,2
61,Abortion,68,2,0,3
62,Abortion,317,4,0,0
63,Abortion,87,2,2,4
64,Abortion,185,18,0,0
65,Abortion,727,33,3,5
66,Abortion,859,1,0,0
67,Abortion,142,9,4,4
68,Abortion,315,5,0,0
69,Abortion,358,21,1,3
70,Abortion,253,3,0,3
71,Abortion,570,8,3,3
72,Abortion,79,1,0,0
73,Abortion,928,14,0,4
74,Abortion,325,3,0,3
75,Abortion,521,5,0,0
76,Abortion,589,5,3,3
77,Abortion,621,20,1,0
78,Abortion,606,12,0,0
79,Abortion,656,10,1,0
80,Abortion,289,2,0,0
81,Abortion,953,25,0,0
82,Abortion,200,32,1,0
83,Abortion,580,12,1,0
84,Abortion,532,33,3,3
85,Abortion,950,14,3,3
86,Abortion,443,1,0,0
87,Abortion,147,14,1,0
88,Abortion,891,16,0,0
89,Abortion,364,4,0,0
90,Abortion,305,1,0,3
91,Abortion,827,2,1,0
92,Abortion,301,10,1,1
93,Abortion,34,36,0,0
94,Abortion,945,2,0,2
95,Abortion,607,13,2,3
96,Abortion,120,10,1,1
97,Abortion,279,21,0,0
98,Abortion,749,4,0,0
99,Abortion,597,1,3,3
100,Abortion,492,12,2,2
101,Abortion,744,2,0,0
102,Abortion,431,2,0,0
103,Abortion,445,11,0,0
104,Abortion,783,4,0,0
105,Abortion,495,21,3,2
106,Abortion,19,0,0,0
107,Abortion,34,1,0,0
108,Abortion,27,4,0,0
109,Abortion,260,20,0,0
110,Abortion,240,12,3,2
111,Abortion,747,6,0,0
112,Abortion,860,1,0,0
113,Abortion,352,25,1,0
114,Abortion,270,1,0,0
115,Abortion,275,2,2,3
116,Abortion,298,2,0,0
117,Abortion,548,1,0,0
118,Abortion,130,1,0,0
119,Abortion,68,14,2,3
120,Abortion,89,4,0,3
121,Abortion,404,3,0,0
122,Abortion,478,5,2,4
123,Abortion,796,6,2,4
124,Abortion,494,1,0,1
125,Abortion,500,23,1,0
126,Abortion,778,4,0,0
127,Abortion,986,6,1,0
128,Abortion,890,1,0,0
129,Abortion,88,10,0,0
130,Abortion,847,6,1,0
131,Abortion,211,12,1,0
132,Abortion,909,1,0,0
133,Abortion,826,25,1,0
134,Abortion,912,3,1,0
135,Abortion,71,0,0,0
136,Abortion,946,14,2,1
137,Abortion,115,28,1,0
138,Abortion,371,11,3,2
139,Abortion,492,6,1,2
140,Abortion,72,1,0,0
141,Abortion,301,2,2,1
