type,condition,timestep,change
t=1-5 (Orig/NSE),Original,1,0.0
t=1-5 (Orig/NSE),Original,2,0.0685
t=1-5 (Orig/NSE),Original,3,0.117
t=1-5 (Orig/NSE),Original,4,0.11675
t=1-5 (Orig/NSE),Original,5,0.09777444361090272
t=15-20 (Orig/NSE),Original,15,0.0360270202651989
t=15-20 (Orig/NSE),Original,16,0.02852139104328246
t=15-20 (Orig/NSE),Original,17,0.043532649487115334
t=15-20 (Orig/NSE),Original,18,0.03352514385789342
t=15-20 (Orig/NSE),Original,19,0.03502626970227671
t=15-20 (Orig/NSE),Original,20,0.026519889917438078
t=25-30 (Orig/NSE),Original,25,0.02501876407305479
t=25-30 (Orig/NSE),Original,26,0.02852139104328246
t=25-30 (Orig/NSE),Original,27,0.023017262947210407
t=25-30 (Orig/NSE),Original,28,0.02501876407305479
t=25-30 (Orig/NSE),Original,29,0.01651238428821616
t=25-30 (Orig/NSE),Original,30,0.014010507880910683
t=35-40 (Orig),Original,35,0.0230287859824781
t=35-40 (Orig),Original,36,0.019774718397997496
t=35-40 (Orig),Original,37,0.018527791687531298
t=35-40 (Orig),Original,38,0.021782674011016526
t=35-40 (Orig),Original,39,0.018022528160200252
t=35-40 (Orig),Original,40,0.012015018773466833
t=35-40 (NSE),No Selective Exposure,35,0.0
t=35-40 (NSE),No Selective Exposure,36,0.0
t=35-40 (NSE),No Selective Exposure,37,0.0
t=35-40 (NSE),No Selective Exposure,38,0.0
t=35-40 (NSE),No Selective Exposure,39,0.0
t=35-40 (NSE),No Selective Exposure,40,0.0
