folder,topic_title,epoch,rows,unique_source_nodes,unique_target_nodes,unique_edges,source_state_values,target_state_values
Gun Control,Gun Control,11,3991,1000,976,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,12,3991,1000,974,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,13,3991,1000,974,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,14,3992,1000,976,3992,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,15,3994,1000,977,3994,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,16,3993,1000,976,3993,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,17,3993,1000,976,3993,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,18,3993,1000,972,3993,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,19,3993,1000,971,3993,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,20,3993,1000,968,3993,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,21,3991,1000,969,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,22,3991,1000,968,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,23,3991,1000,968,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,24,3991,1000,966,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,25,3991,1000,964,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,26,3991,1000,963,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,27,3991,1000,964,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,28,3991,1000,964,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,29,3991,1000,965,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,30,3991,1000,965,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,31,3992,1000,968,3992,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,32,3992,1000,967,3992,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,33,3992,1000,965,3992,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,34,3991,1000,967,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,35,3991,1000,969,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,36,3991,1000,970,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,37,3991,1000,968,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,38,3991,1000,966,3991,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,39,3990,1000,968,3990,-2 -1 0 1 2,-2 -1 0 1 2
Gun Control,Gun Control,40,3990,1000,966,3990,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,0,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,1,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,2,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,3,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,4,4000,1000,1000,3999,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,5,4000,1000,998,3998,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,6,4000,1000,996,3998,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,7,4000,1000,995,3998,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,8,4000,1000,993,3998,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,9,4000,1000,991,3998,-2 -1 0 1 2,-2 -1 0 1 2
